name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Carl Philipp Emanuel Bach,R,1,,571,1.0,1714-03-08 00:00:00,1788-12-14 00:00:00,,1.0,Y,,21.0
Michael Earl Miller,R,1,,341487,1.0,,,,1.0,N,,21.0
Daniel López,R,1,,408026,1.0,,,,1.0,Y,,21.0
C. Francois,R,1,,1121644,1.0,,,,1.0,N,,21.0
Milton Chan,R,1,,136596,1.0,,,,1.0,N,,21.0
Maurício Gaetani,R,1,,370396,1.0,,,,1.0,N,,21.0
Randy Thomas,R,1,,86307,1.0,,,,1.0,N,,21.0
C. Teles,R,1,,370384,1.0,,,,1.0,N,,21.0
Marti Sharron,R,1,,163641,1.0,,,,1.0,N,,21.0
Ian Blake,R,1,,402662,1.0,,,,1.0,N,,21.0
Domínio Público,R,1,,1080197,1.0,,,,1.0,N,,21.0
Roy Tavare,R,1,,123968,1.0,,,,1.0,N,,21.0
Glyn Johns,R,1,,151492,1.0,,,,1.0,N,,21.0
Dany Oliveira,R,1,,325309,1.0,,,,1.0,N,,21.0
Anthony Crawford,R,1,,112238,1.0,,,,1.0,N,,21.0
Toby GAD,R,1,,457255,1.0,,,,1.0,N,,21.0
Jerry Green,R,1,,425144,1.0,,,,1.0,N,,21.0
J.A.R.,R,1,,64667,1.0,,,,15.0,N,,21.0
Hex Hector,R,1,,132344,1.0,,,,1.0,N,,21.0
Javier Ramírez,R,1,,1094873,1.0,,,,1.0,N,,21.0
DJ Quik,R,1,,47677,1.0,,,,1.0,N,,21.0
"Robert ""Fonksta"" Bacon Jr.",R,1,,200183,1.0,,,,1.0,N,,21.0
T. Powell,R,1,,56814,1.0,,,,1.0,N,,21.0
Fettes Brot,R,1,,89100,1.0,,,,15.0,N,,21.0
Vicente Fernández,R,1,,322173,1.0,,,,1.0,N,,21.0
Dado Villa-Lobos,R,1,,317716,1.0,,,,1.0,N,,21.0
Dexter Simmons,R,1,,128658,1.0,,,,1.0,N,,21.0
Dave Way,R,1,,58766,1.0,,,,1.0,N,,21.0
Steve Bertrand,R,1,,518104,1.0,,,,1.0,N,,21.0
Percy Gray,R,1,,106992,1.0,,,,1.0,N,,21.0
Chad L. Gray,R,1,,434775,1.0,,,,1.0,N,,21.0
Pedro Ramírez,R,1,,456842,1.0,,,,1.0,N,,21.0
Bob Antoine,R,1,,144845,1.0,,,,1.0,N,,21.0
Kennith Crouch,R,1,,77189,1.0,,,,1.0,N,,21.0
"José Ángel Espinoza ""Ferrusquilla""",R,1,,146121,1.0,,,,1.0,N,,21.0
Montell Jordan,R,1,,92144,1.0,,,,1.0,N,,21.0
Vance Taylor,R,1,,60021,1.0,,,,1.0,N,,21.0
T. Brown,R,1,,155300,1.0,,,,1.0,N,,21.0
Rev. Vincent Lewis,R,1,,341489,1.0,,,,1.0,N,,21.0
Thomas Bell,R,1,,59311,1.0,1943-01-26 00:00:00,,,1.0,N,,21.0
Jorge Massías,R,1,,372239,1.0,,,,1.0,N,,21.0
Tony Dawsey,R,1,,160292,1.0,,,,1.0,Y,,21.0
Barry Manilow,R,1,,6334,1.0,,,,1.0,Y,,21.0
Mike Stock,R,1,,67516,1.0,1951-12-03 00:00:00,,,1.0,N,,21.0
