name_nm,perf_artist_tx,duration_no,isrc_number_tx,perf_pline_tx,status_ky,last_upd_src_sys_ky,explicit_lyrics_in,rep_owner_ky,taken_from_isrc_id,track_media_ky,track_type_ky,updated_flag_in,track_ext,raas_track_no,track_no,error_flag_in,track_subtype_ky,set_complete_in,c_line,grid_id,related_audio_isrc,live_indicator,rep_owner_parent_ky,raas_init_dt,set_complete_dt,language_ky,confidential_flag,related_audio_isrc_reviewed_in,cline_for_lyrics,audio_encoding_ky,video_encoding_ky,orig_release_date,orig_rel_date_override
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Z1614388020050722,,0,,,,,,0,,,0,,,,0.0,,,
,Kasabian,334,GBARL0400705,(P) 2004 Sony Music Entertainment UK Limited,R,1,,900091646,,1,78,,  ,,A1540301620040604,N,1,Y,,A10301A00002736317,,N,900091646,2004-06-04,2004-07-05 14:17:39,21,N,,,0.0,,2004-01-30,Y
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,C0433447520050510,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1430225920050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1430235320050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,E1430215720050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,F1523049920210621,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,G1809001520210616,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1430218520050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1430242320050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1430212920050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1430237520050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,K1017204220050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1430222320050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1430233320050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,P1430188020050327,,0,,,,,,0,,,0,,,,0.0,,,
